Name,Priority,Stage,BD Contact,Sub-Category,Logo,Tagline,Description,Link to Project,Link to Twitter,Link to Discord,Logo Name,Available on Optimism Website?,Existing Submission that works or avail on the Dapp's Website?,"Require remediation?
(Resize or ask partner)",Requires square crop,Category,"Legal Comments
(Approved, Not Approved)",Notes (if not approved),"Compliance Comments
(Approved, Not Approved)",Compliance (if not approved)
1rpc,2,Ready for Mainnet,Gavynn Arteaga,Infrastructure - Node / RPC,https://drive.google.com/open?id=1xo8C8EzkUvKNvVgRwO6Iix_WNr_REFtF,Protecting Web3 Interactions,"1RPC is a private RPC relay that eradicates metadata exposure and leakage, allowing users to gain control of their interactions with the blockchain with a one-click user experience.",https://1rpc.io,https://twitter.com/AutomataNetwork,https://discord.com/invite/automata,1rpc,No,https://drive.google.com/file/d/1zMfvxJ3njTXA2LvU5d85xOFeeHoO3AbP/view?usp=sharing,No,,Infrastructure,,,Approved,
Aave,1,Deployment in Progress,Gavynn Arteaga,DeFi - Lend / Borrow,"https://drive.google.com/open?id=1Ld-0Ei3ZT15BmRTE7H4M3qsn4qN4bJXC, https://drive.google.com/open?id=1aBNDokH16kYzaeNpZk6YDsxEHhmOnj2M, https://drive.google.com/open?id=1SYgwZnAyswT0njn14RFJAI5_G6jK3Q-2, https://drive.google.com/open?id=1w1eM3hAEthY3yiaDUPyp7EXPDxAvY-RZ",Decentralised non-custodial liquidity protocol where users can participate as suppliers or borrowers.,"Aave Protocol is a non-custodial liquidity protocol. Users can participate as suppliers, borrowers, or liquidators, earning interest on supplied assets and borrowing in an overcollateralized manner.",https://app.aave.com,https://twitter.com/AaveAave,https://discord.com/invite/CvKUrqM,Aave,https://drive.google.com/file/d/1U-gbhVl9XTX3fAdYsVrTZhhWr5XC1qne/view?usp=sharing,,No,,DeFi,,,Approved,
Across Protocol,3,Ready for Mainnet,Armand Khatri,Bridge,https://drive.google.com/open?id=1bC8jfjQ4R4DdaqjNUMMS47MDKgw8oLCm,The Bridge Ethereum Deserves,"Across Protocol is a leading cross-chain token bridge that is secured by UMA's optimistic oracle. It is optimized for capital efficiency with a single liquidity pool, a competitive relayer landscape, and a no-slippage fee model. You can expect secure, fast and affordable cross-chain token transfers with Across.",https://across.to/,https://twitter.com/AcrossProtocol,https://discord.across.to/,Across Protocol,https://drive.google.com/file/d/1urEhD0ug7G2yuzIFOiDK7wmRwjqXWgSE/view?usp=sharing,,No,,Bridge,,,Approved,
Aerodrome,2,Ready for Mainnet,Armand Khatri,DeFi - Swap,https://drive.google.com/open?id=1pPaECb7XL5pX53Wc25m52v-GFGNlr6HX,The central trading and liquidity marketplace on Base.,"Aerodrome is the central trading and liquidity hub on Base. Built on top of Velodrome V2's technology stack, it brings the most advanced ve(3,3) technology to Base.",http://aerodrome.finance,https://twitter.com/aerodromefi,not live yet,Aerodrome,No,https://drive.google.com/file/d/1pPaECb7XL5pX53Wc25m52v-GFGNlr6HX/view?usp=sharing,"Yes, need to resize",,DeFi,,,Approved,
Anotherblock,3,Deployment in Progress,Viktoriya Hying,NFT - Creator,https://drive.google.com/open?id=1oG4WR-7PrzgFEjrSJB7ih1z0Fn3rAYp1,Tagline: COLLECT. OWN. BELONG Sub tagline:own a share of your favorite song - collect royalties alongside your favorite artist.,anotherblock is empowering the emotional and financial connection between creators and consumers. Collectors own future streaming royalties of high-end tracks and earn royalties when they stream.,https://anotherblock.io/,https://twitter.com/anotherblock_io,https://discord.gg/anotherblock,Anotherblock,No,https://drive.google.com/file/d/1e8Od8meynKH1T_YskKJEQFA3NQ_H8SWO/view?usp=sharing,No,,NFT,,,Approved,
Aragon Project,3,Ready for Mainnet,Saemi Kim,DAO,"https://drive.google.com/open?id=1QzhZDwgcz6HqZ9_cxY65DLi2dPEgGVMd, https://drive.google.com/open?id=1OJlzjcwtJvA3raxoYiZ8IHxnmpeF1qQR, https://drive.google.com/open?id=1UiwSnFMAfsxCw27CuGc63yN_9ZaoU4YB, https://drive.google.com/open?id=1AWUs7Kuk8KaMFAByxsYtlvjaa0ZqL-Xm",Aragon,"Aragon builds flexible and secure tools that enable anyone to launch and manage Decentralized Autonomous Organizations (DAOs). In 2016, Aragon built the first DAO framework, which has since powered the creation of over 6000 DAOs and secured over 13B in value for leading projects like Lido, Decentraland, API3, Aavegotchi and NFTX. 

Aragon recently deployed the new modular Aragon OSx protocol and no-code Aragon App. Driven by the mission to enable everyone to experiment with governance at the speed of software, Aragon aims to build a hyperstructure for governance. The Aragon Project is governed by Aragon Network Token (ANT) Holders in the Aragon DAO and built by globally distributed teams.",https://aragon.org/,https://twitter.com/aragonproject?lang=es,https://discord.gg/eug8a3Cg,Aragon Project,No,https://drive.google.com/file/d/1AWUs7Kuk8KaMFAByxsYtlvjaa0ZqL-Xm/view,No,Yes,DAO,,,Approved,
Axelar,3,Ready for Mainnet,Armand Khatri,Bridge,https://drive.google.com/open?id=1htmkmCmXT6rgs6NzUGYvwgMkxASAgP6Y,Axelar Powers the Interchain Future,"Axelar delivers secure interchain communication. That means dApp users can interact with any asset, any application, on any chain, with one click. You can think of it as Stripe for Web3.

Developers interact with a simple API atop a permissionless network that routes messages and ensures network security via proof-of-stake consensus.",https://axelar.network,https://twitter.com/axelarcore,https://discord.com/invite/aRZ3Ra6f7D,Axelar,No,https://drive.google.com/file/d/1-2DfcQuTnVkpg-bIuWPOVOGwOLktzxZZ/view?usp=sharing,No,,Bridge,,,Approved,
Beefy,3,Deployment in Progress,Saemi Kim,DeFi - Yield Aggregator,https://drive.google.com/open?id=1EFeaxTWjrxpZFPx0L6oaVTTmXvp7aFSA,Autocompound your tokens to earn more,"Beefy automates yield farming to make DeFi easy, safe and efficient for all. By autocompounding your tokens, Beefy unlocks higher returns so you earn more of what you love.",https://beefy.com/,https://twitter.com/beefyfinance,discord.gg/beefyfinance,Beefy,https://drive.google.com/file/d/1PdssvVPkzJr38AczPOu6WhoEqCeiiQbY/view?usp=sharing,,No,Yes,DeFi,,,Approved,
Blockdaemon,1,(Closed Won) Deployed to Mainnet,Gavynn Arteaga,Infrastructure - Node / RPC,https://drive.google.com/open?id=1qtDgGTEivS-N9LNLpGah1B96LXCQV7Rj,Powering the blockchain economy,"The institutional-grade blockchain infrastructure for Web3. Blockdaemon provides an end-to-end suite of blockchain tools, including dedicated nodes, APIs, staking, liquid staking, MPC tech, and more.",https://blockdaemon.com,https://twitter.com/BlockdaemonHQ,,Blockdaemon,No,https://drive.google.com/file/d/1OS8s-TFk0Kcde4EPWFQkPyOhZv9MJInR/view?usp=sharing,No,,Infrastructure,,,Approved,
Blocknative,3,Deployment in Progress,Gavynn Arteaga,DeFi - Staking,"https://drive.google.com/open?id=1RRxfJXrZMHCSeAFRhGrPPcrIdtdWG4Ed, https://drive.google.com/open?id=1W6wTjiN3p_sw4wNW8ZCuSLIcTzk03KBd",Ensure your users transact with confidence.,"Blocknative’s Web3 Onboard is an open-source library that enables dapps to easily connect 40+ wallets, preview transactions, deliver real-time notifications, and more through a great developer UX.",https://onboard.blocknative.com,https://twitter.com/blocknative,https://discord.gg/EDBvPwvHat,Blocknative,No,https://drive.google.com/file/d/1pthMDcwNb_YuM3bBbW7NyAxSJ5djtP8R/view?usp=sharing,No,,DeFi,,,Approved,
